Potential_temperature_C,Practical_salinity,Potential_density_anomaly_kgm3,Pressure_decibar,Serial_date_number_base_date_1_January_0000,Longitude,Latitude,Bottom_Depth_m
1.963777265,34.84042748,27.84976423,1765.8,732026,-36.50833333,63.555,1784
2.044704364,34.85244343,27.8529128,1765.9,732027,-36.50833333,63.555,1784
2.012688845,34.866949,27.86710182,1766.1,732028,-36.50833333,63.555,1784
1.551329418,34.83833798,27.87979231,1766.2,732029,-36.50833333,63.555,1784
1.859350543,34.8439666,27.86083166,1766.7,732030,-36.50833333,63.555,1784
2.041681764,34.84644687,27.84835472,1766.9,732031,-36.50833333,63.555,1784
2.060771678,34.85268625,27.85181223,1767.2,732032,-36.50833333,63.555,1784
2.246779555,34.85498383,27.83841542,1767.2,732033,-36.50833333,63.555,1784
1.712679775,34.83900228,27.86818102,1767.2,732034,-36.50833333,63.555,1784
1.806459638,34.84080315,27.86241339,1767.2,732035,-36.50833333,63.555,1784
1.589005928,34.84270562,27.88048987,1767.2,732036,-36.50833333,63.555,1784
1.242772153,34.86257128,27.92155024,1766.7,732037,-36.50833333,63.555,1784
1.319589136,34.85361618,27.90891884,1767,732038,-36.50833333,63.555,1784
1.585211124,34.85167361,27.887966,1766.2,732039,-36.50833333,63.555,1784
1.858432794,34.86439963,27.87727625,1766.3,732040,-36.50833333,63.555,1784
1.873220101,34.86899047,27.87979665,1766.2,732041,-36.50833333,63.555,1784
2.050040852,34.86788893,27.86485118,1766.4,732042,-36.50833333,63.555,1784
1.786093564,34.86177968,27.88080121,1765.8,732043,-36.50833333,63.555,1784
1.987937346,34.86846103,27.87029337,1766,732044,-36.50833333,63.555,1784
1.915640771,34.86740234,27.87518633,1766.1,732045,-36.50833333,63.555,1784
1.60871881,34.86123847,27.89387764,1766.6,732046,-36.50833333,63.555,1784
1.941092008,34.87099633,27.87605236,1767.1,732047,-36.50833333,63.555,1784
1.676183175,34.86880202,27.8948514,1767.4,732048,-36.50833333,63.555,1784
1.867190534,34.87399812,27.88428236,1767.4,732049,-36.50833333,63.555,1784
1.756168213,34.87170293,27.89106371,1767.2,732050,-36.50833333,63.555,1784
1.87660038,34.87386557,27.88343803,1766.9,732051,-36.50833333,63.555,1784
2.148130295,34.88026619,27.86678788,1766.5,732052,-36.50833333,63.555,1784
1.254239208,34.86792554,27.92504216,1766.1,732053,-36.50833333,63.555,1784
0.906647737,34.84963617,27.93406365,1766,732054,-36.50833333,63.555,1784
1.452027592,34.85374504,27.89946462,1765.6,732055,-36.50833333,63.555,1784
2.037875979,34.86274587,27.86171249,1765.8,732056,-36.50833333,63.555,1784
1.330412026,34.86413407,27.91658966,1765.6,732057,-36.50833333,63.555,1784
1.61456194,34.83902601,27.8756242,1765.9,732058,-36.50833333,63.555,1784
1.833695712,34.85890379,27.87480304,1766.3,732059,-36.50833333,63.555,1784
2.200474573,34.84889188,27.83737323,1766.8,732060,-36.50833333,63.555,1784
1.85864398,34.83607454,27.85456321,1767.2,732061,-36.50833333,63.555,1784
0.82453779,34.82347739,27.91839582,1766.9,732062,-36.50833333,63.555,1784
0.746070761,34.83594815,27.93347402,1767.6,732063,-36.50833333,63.555,1784
1.652834265,34.86653282,27.89480077,1767.2,732064,-36.50833333,63.555,1784
1.138537062,34.83558609,27.9071339,1768,732065,-36.50833333,63.555,1784
1.13581222,34.83857714,27.90972435,1767.4,732066,-36.50833333,63.555,1784
